up_count,down_count,ngram,total_count,polar_score,polarity
15,1, 크레딧/NNG;위험/NNG;높/VA,16,21.78040811308876,Hawkish
9,7, 발행/NNG;수요/NNG;많/VA,16,1.866892123979037,Hawkish
11,5, 본증/NNG,16,3.1944598565863513,Hawkish
14,13, 산입/NNG,27,1.5637216081191931,Hawkish
16,2, 인본/NNG,18,11.616217660314005,Hawkish
145,36, 리가/NNG,181,5.848442919255316,Hawkish
18,19, 절상/NNG;압력/NNG;완화/NNG,37,1.375604722931922,Hawkish
29,9, 상승국/NNG,38,4.6787543354042525,Hawkish
13,12, 사고팔/VV,25,1.5730294748341882,Hawkish
35,22, 기주/NNG,57,2.3100432847215355,Hawkish
11,6, 붉은색/NNG,17,2.662049880488626,Hawkish
9,7, 금리/NNG;인하/NNG;제한/NNG,16,1.866892123979037,Hawkish
12,11, 제한적/VAX;효과/NNG,23,1.58402968095191,Hawkish
9,10, 금리/NNG;역전/NNG;부담/NNG,19,1.3068244867853258,Hawkish
17,16, 재정/NNG;지출/NNG;감소/NNG,33,1.5427789080104541,Hawkish
222,89, 자본증권/NNG,311,3.621910562625996,Hawkish
12,7, 기업/NNG;대출/NNG;감소/NNG,19,2.489189498638716,Hawkish
11,10, 글로벌/NNG;경기/NNG;상승/NNG,21,1.5972299282931757,Hawkish
147,145, 부동산/NNG;가격/NNG;안정/NNG,292,1.4720551690225507,Hawkish
19,18, 투자/NNG;상승/NNG,37,1.5326953857358758,Hawkish
12,9, 당락/NNG,21,1.9360362767190011,Hawkish
39,42, 기업규제/NNG,81,1.3483109784293044,Hawkish
19,18, 아이오/NNG,37,1.5326953857358758,Hawkish
16,12, 하락/NNG;경기/NNG;둔화/NNG;우려/NNG,28,1.9360362767190007,Hawkish
37,19, 영업자산/NNG,56,2.827631930471173,Hawkish
19,1, 사계/NNG,20,27.588516943245768,Hawkish
34,28, 채권비율/NNG,62,1.7631758948690905,Hawkish
14,4, 국향/NNG,18,5.082095226387378,Hawkish
47,32, 원가경쟁력/NNG,79,2.1326649610732744,Hawkish
72,69, fcf/NNG,141,1.5151588252583488,Hawkish
10,8, 자못/MAG,18,1.8150340094240636,Hawkish
28,26, 부채/NNG;상환능력/NNG;악화/NNG,54,1.5637216081191931,Hawkish
17,9, 부채/NNG;상환능력/NNG;저하/NNG,26,2.7427180586852518,Hawkish
17,11, 경제/NNG;성장률/NNG;저하/NNG,28,2.244042048015206,Hawkish
21,19, 높/VA;경기/NNG;둔화/NNG,40,1.604872176753909,Hawkish
47,50, 재무구조/NNG;악화/NNG,97,1.3649055750868957,Hawkish
58,59, 수익성/NNG;하락/NNG,117,1.4274165769029923,Hawkish
11,5, 건설업/NNG;침체/NNG,16,3.1944598565863513,Hawkish
14,5, 수익성/NNG;저조/NNG,19,4.065676181109902,Hawkish
